night,n_bars_h1,n_bars_h2,h1_high,h1_low,entry_ts,entry_mid,entry_spread,exit_ts,exit_mid,exit_spread,midpoint,dev_pips,side,traded,entry_px,exit_px,gross_pips,spread_cost_pips,net_pips,year,mae_pips,mfe_pips,bars_in_trade
2024-07-17,240.0,240.0,1.1095450000000002,1.10622,2024-07-18 01:59:00+00:00,1.1090400000000002,0.0001689655172413,2024-07-17 05:59:00+00:00,1.1103150000000002,0.000174375,1.1078825,11.575000000001443,SELL,True,1.1089555172413796,1.1104021875,-12.749999999999153,3.433405172413,-16.18340517241215,2024,0.0,0.0,0
2024-07-18,240.0,240.0,1.1118200000000005,1.1089350000000002,2024-07-19 01:59:00+00:00,1.1116400000000002,0.0001464,2024-07-18 05:59:00+00:00,1.10924,0.0001774193548386,1.1103775000000002,12.624999999999442,SELL,True,1.1115668,1.1093287096774194,24.0000000000018,3.238193548386,20.7618064516158,2024,0.0,0.0,0
2024-07-22,231.0,240.0,1.11248,1.110615,2024-07-23 01:59:00+00:00,1.1121850000000002,0.0002018367346938,2024-07-22 05:59:00+00:00,1.111485,0.0001626666666666,1.1115475,6.375000000002906,SELL,True,1.1120840816326534,1.1115663333333334,7.0000000000014495,3.645034013604,3.35496598639745,2024,0.0,0.0,0
2024-07-23,238.0,240.0,1.112975,1.110335,2024-07-24 01:59:00+00:00,1.112875,0.0001535897435897,2024-07-23 05:59:00+00:00,1.111315,0.0002438461538461,1.111655,12.199999999999989,SELL,True,1.1127982051282053,1.1114369230769232,15.600000000000058,3.974358974358,11.625641025642055,2024,0.0,0.0,0
2024-07-24,240.0,240.0,1.110115,1.1080900000000002,2024-07-25 01:59:00+00:00,1.108095,0.000162857142857,2024-07-24 05:59:00+00:00,1.11248,0.0001878571428571,1.1091025,-10.0750000000005,BUY,True,1.1081764285714286,1.1123860714285714,43.84999999999861,3.5071428571409995,40.34285714285761,2024,0.0,0.0,0
2024-07-25,240.0,240.0,1.1123950000000002,1.11037,2024-07-26 01:59:00+00:00,1.11232,0.0002056097560975,2024-07-25 05:59:00+00:00,1.106635,0.0001757692307692,1.1113825000000002,9.374999999998137,SELL,True,1.1122171951219513,1.1067228846153847,56.8499999999994,3.813789868667,53.0362101313324,2024,0.0,0.0,0
2024-07-30,240.0,240.0,1.10845,1.096785,2024-07-31 01:59:00+00:00,1.0997,0.0001433333333332,2024-07-30 05:59:00+00:00,1.1129350000000002,0.0002000000000001,1.1026175,-29.175000000001283,BUY,True,1.0997716666666666,1.1128350000000002,132.3500000000033,3.433333333333,128.9166666666703,2024,0.0,0.0,0
2024-07-31,237.0,240.0,1.10044,1.09685,2024-08-01 01:59:00+00:00,1.097445,0.0002040909090909,2024-07-31 05:59:00+00:00,1.0989400000000002,0.0001748,1.098645,-12.0000000000009,BUY,True,1.0975470454545455,1.0988526000000003,14.95000000000246,3.788909090909,11.161090909093462,2024,0.0,0.0,0
2024-08-01,240.0,239.0,1.0944950000000002,1.0923500000000002,2024-08-02 01:59:00+00:00,1.09429,0.0001548148148148,2024-08-01 05:59:00+00:00,1.09727,0.0001984615384615,1.0934225000000002,8.67499999999799,SELL,True,1.0942125925925923,1.0973692307692309,-29.799999999999827,3.532763532763,-33.332763532762826,2024,0.0,0.0,0
2024-08-05,240.0,240.0,1.09594,1.09261,2024-08-06 01:59:00+00:00,1.09485,0.0001688888888888,2024-08-05 05:59:00+00:00,1.08715,0.0002929444444444,1.094275,5.749999999999922,SELL,True,1.0947655555555558,1.0872964722222225,77.0000000000004,4.618333333332,72.3816666666684,2024,0.0,0.0,0
