night,n_bars,high,low,open,close,spread_p50_pips,spread_p95_pips,range_pips,session_ret_pips,session_ret_abs_pips,dow,year
2018-03-14,480,1.078005,1.073905,1.077625,1.07442,2.1682667358585,3.0677515833906974,40.99999999999992,-32.05000000000124,32.05000000000124,2,2018
2018-03-15,480,1.0760900000000002,1.071085,1.071525,1.075325,2.1390227754230002,3.0249914965982496,50.05000000000148,38.000000000000256,38.000000000000256,3,2018
2018-03-18,480,1.0692400000000002,1.066895,1.068855,1.068705,2.112830992401,2.8074267241377493,23.450000000002635,-1.500000000000945,1.500000000000945,6,2018
2018-03-19,480,1.06746,1.06403,1.065495,1.067115,2.1336879432615,3.104166666665748,34.30000000000044,16.199999999999548,16.199999999999548,0,2018
2018-03-20,480,1.073105,1.0702350000000005,1.07098,1.0719950000000005,2.221807065217,2.78764112903225,28.69999999999484,10.150000000004322,10.150000000004322,1,2018
2018-03-21,480,1.0762850000000002,1.06902,1.07434,1.071355,2.2020564516129997,2.9907317073160495,72.65000000000077,-29.850000000000154,29.850000000000154,2,2018
2018-03-22,480,1.069145,1.0651450000000002,1.06738,1.06757,2.225015634771,3.4369783197825496,39.99999999999781,1.8999999999991246,1.8999999999991246,3,2018
2018-03-25,480,1.0653400000000002,1.061785,1.0646650000000002,1.06272,2.2177124183,3.44362577639695,35.550000000001965,-19.450000000000855,19.450000000000855,6,2018
2018-03-26,480,1.062745,1.0604,1.06184,1.06127,2.1999999999995,2.4913636363634994,23.450000000000415,-5.699999999999594,5.699999999999594,0,2018
2018-03-27,480,1.059505,1.056335,1.056755,1.058195,2.1872533849125,2.732368421052249,31.69999999999895,14.399999999998858,14.399999999998858,1,2018
2018-03-28,480,1.06527,1.06208,1.06308,1.06516,2.242291088498,3.225249999999,31.90000000000026,20.800000000000818,20.800000000000818,2,2018
2018-03-29,480,1.064025,1.0610050000000002,1.0617450000000002,1.06313,3.8786363636359997,7.614797764190348,30.199999999998006,13.849999999997475,13.849999999997475,3,2018
2018-04-01,479,1.0638550000000002,1.0614150000000002,1.0620500000000002,1.061425,2.3624999999989997,3.705238095237098,24.399999999999977,-6.250000000000977,6.250000000000977,6,2018
2018-04-02,480,1.0657200000000002,1.061585,1.0620250000000002,1.06228,2.2512362637354997,2.913117718445649,41.35000000000222,2.5499999999967216,2.5499999999967216,0,2018
2018-04-03,480,1.0596800000000002,1.056205,1.0590450000000002,1.05641,2.169857235561,2.6924484052535496,34.750000000001165,-26.35000000000165,26.35000000000165,1,2018
2018-04-04,480,1.056265,1.053945,1.05552,1.055745,2.12352729885,2.5770454545447494,23.200000000000998,2.249999999999197,2.249999999999197,2,2018
2018-04-05,480,1.05872,1.05397,1.0566600000000002,1.0571100000000002,2.2890076754379995,3.007454901959649,47.50000000000032,4.500000000000615,4.500000000000615,3,2018
2018-04-08,480,1.05625,1.0530400000000002,1.0550000000000002,1.053055,2.2500711912664997,3.7142145593866993,32.09999999999713,-19.450000000000855,19.450000000000855,6,2018
2018-04-09,480,1.055815,1.051865,1.05346,1.054545,2.16909090909,2.9301860465116,39.49999999999898,10.850000000000026,10.850000000000026,0,2018
2018-04-10,480,1.055635,1.052635,1.0542600000000002,1.054055,2.197499999999,2.558052837572549,30.000000000001137,-2.0500000000023277,2.0500000000023277,1,2018
2018-04-11,480,1.05502,1.05152,1.0546000000000002,1.05157,2.1736345580925,3.2168089430887497,35.00000000000058,-30.300000000003102,30.300000000003102,2,2018
2018-04-12,480,1.05427,1.05091,1.0518650000000005,1.054075,2.165460526315,3.3477380952370996,33.60000000000029,22.09999999999601,22.09999999999601,3,2018
2018-04-15,480,1.0581200000000002,1.055765,1.056235,1.05652,2.1637626262625,3.4699999999992968,23.55000000000107,2.849999999998687,2.849999999998687,6,2018
2018-04-16,480,1.05869,1.055215,1.05675,1.0584250000000002,2.217045454545,2.892077922076849,34.74999999999895,16.75000000000093,16.75000000000093,0,2018
2018-04-17,479,1.059535,1.05763,1.0587650000000002,1.05898,2.1999999999989996,2.802222222222099,19.049999999998235,2.149999999998542,2.149999999998542,1,2018
2018-04-18,480,1.06613,1.061025,1.064025,1.06496,2.1811655405395,2.7940624999989994,51.04999999999915,9.349999999999081,9.349999999999081,2,2018
2018-04-19,480,1.0662550000000002,1.06275,1.06296,1.065985,2.1870952821455,2.6385306553905985,35.050000000000914,30.250000000000554,30.250000000000554,3,2018
2018-04-22,480,1.06623,1.0621900000000002,1.06298,1.0653900000000005,2.4047592385214998,3.757733990146949,40.399999999998215,24.100000000004673,24.100000000004673,6,2018
2018-04-23,60,1.063415,1.062555,1.06309,1.063085,2.782437275985,3.323583877995299,8.60000000000083,-0.05000000000032756,0.05000000000032756,0,2018
2018-04-30,420,1.07214,1.06984,1.070275,1.07163,2.4164304993245,2.7505147058823494,23.000000000001908,13.549999999999951,13.549999999999951,0,2018
2018-05-01,480,1.07088,1.0665,1.06878,1.0703900000000002,2.1821290322575,2.7755357142846995,43.8000000000005,16.100000000001113,16.100000000001113,1,2018
2018-05-02,480,1.07315,1.069965,1.07104,1.071475,2.3371710526309997,2.608421874998999,31.849999999999934,4.349999999999632,4.349999999999632,2,2018
2018-05-03,480,1.07565,1.06879,1.06956,1.073805,2.2069295101549997,2.6291428571414492,68.60000000000088,42.44999999999832,42.44999999999832,3,2018
2018-05-06,480,1.074185,1.07038,1.074135,1.0716200000000002,2.2045928030299997,2.6603848283495486,38.04999999999836,-25.14999999999823,25.14999999999823,6,2018
2018-05-07,480,1.07136,1.06825,1.0708950000000002,1.0697,2.2356691919189995,2.5706699346404,31.100000000001682,-11.950000000000571,11.950000000000571,0,2018
2018-05-08,480,1.06977,1.067045,1.06903,1.067835,2.1994736842095,2.6873333333326492,27.250000000000885,-11.94999999999835,11.94999999999835,1,2018
2018-05-09,480,1.08105,1.074265,1.0748700000000002,1.079755,2.0769858781990003,2.330023148147449,67.8500000000004,48.84999999999806,48.84999999999806,2,2018
2018-05-10,480,1.0822600000000002,1.0795500000000002,1.081505,1.08139,2.2037868162685,2.59999999999905,27.099999999999902,-1.149999999998652,1.149999999998652,3,2018
2018-05-13,480,1.0859650000000003,1.08324,1.083465,1.085295,2.2452922077914996,2.9474175824167483,27.250000000003105,18.299999999999983,18.299999999999983,6,2018
2018-05-14,480,1.09008,1.087815,1.08819,1.088905,2.2274811218979997,2.5335416666663497,22.649999999999615,7.150000000000212,7.150000000000212,0,2018
2018-05-15,480,1.0900850000000002,1.08611,1.08864,1.088845,2.2626785714285,2.8094935064935993,39.750000000002835,2.0500000000001073,2.0500000000001073,1,2018
2018-05-16,480,1.091805,1.08731,1.089075,1.091685,2.2654364503419995,2.7333333333320504,44.94999999999916,26.100000000000012,26.100000000000012,2,2018
2018-05-17,480,1.092885,1.0894350000000002,1.091945,1.090165,2.27135785007,2.5782638888890994,34.49999999999953,-17.799999999998928,17.799999999998928,3,2018
2018-05-20,480,1.09172,1.085625,1.08594,1.090275,2.2745370370369997,2.8945779220777483,60.94999999999961,43.350000000002,43.350000000002,6,2018
2018-05-21,480,1.0920900000000002,1.090065,1.09135,1.0911650000000002,2.1900641025635,2.690857142856149,20.250000000001656,-1.849999999998797,1.849999999998797,0,2018
2018-05-22,480,1.09427,1.091025,1.0918100000000002,1.0925950000000002,2.2479669421484996,2.748198051947498,32.450000000001644,7.850000000000357,7.850000000000357,1,2018
2018-05-23,480,1.0933800000000002,1.0912450000000002,1.0920800000000002,1.0925900000000002,2.307821350762,2.899999999999,21.34999999999998,5.1000000000001044,5.1000000000001044,2,2018
2018-05-24,479,1.0934050000000002,1.091395,1.0931300000000002,1.0930050000000002,2.304444444444,2.7573109243689,20.100000000002893,-1.2499999999993072,1.2499999999993072,3,2018
2018-05-27,480,1.09238,1.08898,1.091565,1.08898,2.2569924812025,3.217678571427699,33.99999999999847,-25.849999999998374,25.849999999998374,6,2018
2018-05-28,480,1.0879150000000002,1.0846300000000002,1.08732,1.087025,2.2682517482515,2.5848290598286496,32.849999999999824,-2.9500000000015625,2.9500000000015625,0,2018
2018-05-29,480,1.08831,1.08353,1.08817,1.084495,2.243408639523,2.6009374999990493,47.80000000000006,-36.750000000000945,36.750000000000945,1,2018
2018-05-30,480,1.08577,1.081915,1.084845,1.08331,2.2630604288494998,2.759296296296,38.549999999999415,-15.350000000000641,15.350000000000641,2,2018
2018-05-31,480,1.081295,1.0777450000000002,1.0812700000000002,1.078305,2.325699300699,2.8606712962950485,35.4999999999972,-29.650000000001064,29.650000000001064,3,2018
2018-06-03,480,1.088085,1.08317,1.08364,1.0867250000000002,2.1769749216295002,2.715931174088449,49.15000000000003,30.850000000002264,30.850000000002264,6,2018
2018-06-04,480,1.08874,1.08505,1.088335,1.0859550000000002,2.2637330754344998,2.5520604395603983,36.89999999999971,-23.799999999998267,23.799999999998267,0,2018
2018-06-05,480,1.0892400000000002,1.08372,1.084135,1.0874350000000002,2.2573907766984997,2.609166666666299,55.200000000001914,33.0000000000008,33.0000000000008,1,2018
2018-06-06,480,1.090145,1.08607,1.09004,1.08672,2.280672268907,2.69683333333265,40.74999999999829,-33.199999999999896,33.199999999999896,2,2018
2018-06-07,480,1.08549,1.08243,1.0847,1.0824550000000002,2.228235450438,2.6999999999989996,30.600000000000627,-22.449999999998305,22.449999999998305,3,2018
2018-06-10,479,1.08153,1.07999,1.08091,1.0801500000000002,2.319047619047,2.9939999999995996,15.400000000000968,-7.599999999998719,7.599999999998719,6,2018
2018-06-11,60,1.083965,1.08308,1.083275,1.083885,2.9312091503264996,3.7054081632643494,8.850000000000247,6.099999999999994,6.099999999999994,0,2018
2018-06-25,420,1.076245,1.0740150000000002,1.075535,1.07523,2.2037268518515,2.3538744343880498,22.299999999997322,-3.049999999999997,3.049999999999997,0,2018
2018-06-26,480,1.082595,1.0777450000000002,1.078405,1.0820250000000002,2.2139784151385,2.6582857142848986,48.49999999999799,36.200000000001786,36.200000000001786,1,2018
2018-06-27,480,1.0858150000000002,1.07829,1.07917,1.084415,2.222514071294,2.8121401515139994,75.25000000000226,52.44999999999944,52.44999999999944,2,2018
2018-06-28,480,1.090485,1.08706,1.087895,1.090415,2.2847339924665,3.010116666666298,34.250000000000114,25.199999999998557,25.199999999998557,3,2018
2018-07-01,480,1.092775,1.08906,1.09092,1.0899200000000002,2.2644067796605,5.432832167831444,37.15000000000135,-9.999999999996678,9.999999999996678,6,2018
2018-07-02,480,1.097755,1.092765,1.092845,1.09707,2.1980312208755,2.6902222222202994,49.900000000000496,42.24999999999923,42.24999999999923,0,2018
2018-07-03,480,1.095635,1.09231,1.09281,1.09401,2.109883017345,2.6477350427351487,33.25000000000022,11.999999999998678,11.999999999998678,1,2018
2018-07-04,480,1.092645,1.08845,1.09123,1.089775,2.2176541095889997,3.0502272727263,41.95000000000171,-14.54999999999984,14.54999999999984,2,2018
2018-07-05,480,1.0882,1.08611,1.0882,1.0875850000000002,2.1453588516739996,2.3910858585857495,20.900000000001473,-6.149999999998101,6.149999999998101,3,2018
2018-07-08,480,1.09118,1.0864600000000002,1.087025,1.0907300000000002,2.1669871794865,3.075435897434598,47.199999999998354,37.05000000000291,37.05000000000291,6,2018
2018-07-09,480,1.092295,1.090075,1.091415,1.0901150000000002,2.0675438596484996,2.6999999999999997,22.200000000001108,-12.999999999998568,12.999999999998568,0,2018
2018-07-10,480,1.09061,1.087485,1.090095,1.0882,2.1157894736835,2.4704629629626,31.250000000000444,-18.9499999999998,18.9499999999998,1,2018
2018-07-11,480,1.09251,1.0898450000000002,1.09068,1.0915,2.0954884667564997,2.651833333333298,26.649999999999174,8.199999999998209,8.199999999998209,2,2018
2018-07-12,478,1.0953400000000002,1.0929350000000002,1.09321,1.09525,2.1441323345814998,2.925714285713799,24.049999999999905,20.400000000000418,20.400000000000418,3,2018
2018-07-15,479,1.097495,1.095695,1.0967350000000002,1.09654,2.263636363636,3.1640548780478994,18.000000000000238,-1.9500000000016726,1.9500000000016726,6,2018
2018-07-16,480,1.09733,1.08699,1.09512,1.08847,2.209221466364,2.7776190476181997,103.40000000000015,-66.50000000000044,66.50000000000044,0,2018
2018-07-17,480,1.0904,1.0882550000000002,1.0893100000000002,1.089,2.163208232445,2.6933333333326983,21.449999999998415,-3.100000000002545,3.100000000002545,1,2018
2018-07-18,480,1.09451,1.088555,1.088555,1.09341,2.335049392097,2.8881515151516997,59.550000000001546,48.55000000000054,48.55000000000054,2,2018
2018-07-19,480,1.092095,1.088555,1.090195,1.09091,2.2422635658914998,2.5965676883767994,35.400000000000986,7.150000000000212,7.150000000000212,3,2018
2018-07-22,480,1.091495,1.08845,1.091495,1.0887950000000002,2.110960960961,3.0251136363635993,30.450000000001864,-26.999999999999247,26.999999999999247,6,2018
2018-07-23,478,1.088765,1.08618,1.08805,1.0880150000000002,2.0929070929064997,2.870416666665299,25.850000000000595,-0.34999999999785203,0.34999999999785203,0,2018
2018-07-24,480,1.09368,1.08839,1.0903650000000005,1.0887350000000002,2.139889277389,3.0502499999999495,52.90000000000017,-16.300000000002424,16.300000000002424,1,2018
2018-07-25,480,1.090065,1.087475,1.08921,1.0878200000000002,2.1080882352934998,2.647179487178649,25.900000000000922,-13.899999999997803,13.899999999997803,2,2018
2018-07-26,480,1.0900850000000002,1.087335,1.08785,1.08946,2.0508496732020003,2.5670833333326493,27.500000000002522,16.100000000001113,16.100000000001113,3,2018
2018-07-29,480,1.089505,1.086645,1.089395,1.0871300000000002,2.099999999999,2.6504999999999495,28.599999999998627,-22.649999999997394,22.649999999997394,6,2018
2018-07-30,480,1.088675,1.08445,1.0856150000000002,1.08838,2.1589569160994997,2.5164473684208493,42.25000000000145,27.649999999996844,27.649999999996844,0,2018
2018-07-31,480,1.0914700000000002,1.08901,1.089725,1.090205,2.0499999999989997,2.59057738095215,24.600000000001288,4.8000000000003595,4.8000000000003595,1,2018
2018-08-01,480,1.090605,1.08855,1.09006,1.08941,2.0801959983664995,2.5468333333327497,20.5500000000014,-6.500000000000394,6.500000000000394,2,2018
2018-08-02,480,1.0950650000000002,1.09197,1.0922900000000002,1.09454,1.9689903846159997,2.376249999999049,30.9500000000007,22.499999999998632,22.499999999998632,3,2018
2018-08-05,479,1.09719,1.0956,1.0968300000000002,1.0965,2.0054545454539996,2.5671428571430996,15.900000000002024,-3.300000000001635,3.300000000001635,6,2018
2018-08-06,480,1.09949,1.0971000000000002,1.09756,1.099445,2.085090504922,2.8513978494618994,23.899999999998922,18.849999999999145,18.849999999999145,0,2018
2018-08-07,479,1.10344,1.0989300000000002,1.10154,1.09946,2.008823529411,2.6327067669168995,45.09999999999792,-20.799999999998597,20.799999999998597,1,2018
2018-08-08,480,1.1150250000000002,1.1070000000000002,1.108915,1.114795,2.1670726555894997,2.6437519201220994,80.24999999999949,58.79999999999885,58.79999999999885,2,2018
2018-08-09,480,1.1176050000000002,1.111125,1.114935,1.111145,2.0,2.392812500000049,64.80000000000263,-37.8999999999996,37.8999999999996,3,2018
2018-08-12,480,1.10814,1.10375,1.1073050000000002,1.10665,1.926296296296,2.381450216449849,43.89999999999894,-6.550000000002942,6.550000000002942,6,2018
2018-08-13,480,1.105895,1.101395,1.105785,1.1021200000000002,2.009639953542,2.4703888888879497,45.000000000001705,-36.64999999999807,36.64999999999807,0,2018
2018-08-14,480,1.10231,1.09925,1.1016850000000002,1.100885,2.0476034858384997,2.6499999999990003,30.599999999998406,-8.00000000000356,8.00000000000356,1,2018
2018-08-15,480,1.1048300000000002,1.09967,1.1023200000000002,1.103955,2.1389790618399998,2.538509615384549,51.60000000000275,16.34999999999831,16.34999999999831,2,2018
2018-08-16,480,1.103265,1.101555,1.1023500000000002,1.1024250000000002,2.002866502866,2.4881250000008994,17.099999999998783,0.7500000000004725,0.7500000000004725,3,2018
2018-08-19,480,1.1040800000000002,1.10195,1.1029,1.103125,2.072597597597,2.2414390756299998,21.300000000001873,2.249999999999197,2.249999999999197,6,2018
2018-08-20,480,1.10568,1.102815,1.104685,1.102875,1.9999999999995,2.5303571428571,28.649999999998954,-18.099999999998673,18.099999999998673,0,2018
2018-08-21,480,1.10031,1.09489,1.0999500000000002,1.09728,1.9817254174394998,2.4347154255314494,54.199999999999804,-26.700000000001722,26.700000000001722,1,2018
2018-08-22,480,1.098105,1.0917400000000002,1.0978150000000002,1.09274,2.035219270166,2.4801379310334997,63.64999999999954,-50.75000000000163,50.75000000000163,2,2018
2018-08-23,480,1.09663,1.0908950000000002,1.0927700000000002,1.0950000000000002,2.031583107497,2.69298701298685,57.34999999999823,22.299999999999542,22.299999999999542,3,2018
2018-08-26,480,1.09655,1.09437,1.096155,1.0948950000000002,2.141518467852,2.7215789473674996,21.799999999998487,-12.599999999998168,12.599999999998168,6,2018
2018-08-27,480,1.0969800000000005,1.095425,1.096475,1.09671,1.9842592592589998,2.5437847222222,15.550000000004172,2.349999999999852,2.349999999999852,0,2018
2018-08-28,480,1.0947400000000005,1.090855,1.09402,1.09146,1.99587585034,2.7471794871786486,38.85000000000582,-25.599999999998957,25.599999999998957,1,2018
2018-08-29,480,1.0956,1.0883000000000005,1.0885,1.09475,1.9843529411755,2.5,72.99999999999417,62.499999999998664,62.499999999998664,2,2018
2018-08-30,480,1.0934,1.091175,1.0915500000000002,1.091695,2.0714285714279996,2.8023871302537997,22.249999999999215,1.449999999998397,1.449999999998397,3,2018
